URL,Modelo,Marca,Precio con Descuento,Moneda,Precio Original,Descuento,En Stock,País,Valoración,Cantidad de Reseñas,HTTP Status,ImagenURL
https://www.galgo.com/mx/motos/MX253-bajaj-dominar-400-te,Bajaj Dominar 400 TE 2025,Bajaj,Sin descuento,MXN,MXN $94499,False,True,MX,4.833333333333333,18,200,https://images.ctfassets.net/8zlbnewncp6f/3POa28ljuzZgmj1axnWi80/9962d3a1b4d7337d175894c7ad734cca/Dominar_400_TE_Galgo_M_xico.png
https://www.galgo.com/mx/motos/MX1015-cf-moto-300-nk,CF Moto 300 NK 2023,CF Moto,MXN $83990,MXN,MXN $89990,True,True,MX,5,3,200,https://images.ctfassets.net/8zlbnewncp6f/Sv4asLHtlUzRzFs2MP087/0b61b74099e55ad96aa4ddf42d54b137/CF_Moto_300_NK_-_Galgo_M_xico_Principal.jpg
https://www.galgo.com/mx/motos/MX1171-bajaj-pulsar-n-160-2023,Bajaj Pulsar N 160 2025 FI + ABS,Bajaj,Sin descuento,MXN,MXN $50499,False,True,MX,4.943661971830986,71,200,https://images.ctfassets.net/8zlbnewncp6f/qOtbfzoHOU8pMe3LiIvy6/9b766772440d7bcadf4579f8df103a2b/Bajaj_Pulsar_N_160_2024_Galgo_M_xico.png
https://www.galgo.com/mx/motos/MX709-ktm-duke-200,KTM Duke 200 2023,KTM,Sin descuento,MXN,MXN $87900,False,True,MX,4.5,6,200,https://images.ctfassets.net/8zlbnewncp6f/1J0jC0NYqTm1R7A3hyyqDW/522f75649a473f5b9ceaf495c6c44629/ktm-duke-200-primer-plano.png
https://www.galgo.com/mx/motos/MX513-honda-xr-150,Honda XR 150 2024,Honda,Sin descuento,MXN,MXN $49990,False,True,MX,3,1,200,https://images.ctfassets.net/8zlbnewncp6f/5p0u3Q9LaZjs9dXKPNpSCS/45049f15ea617ea068fa444e3d6a947b/honda-xr-150-primer-plano.png
https://www.galgo.com/mx/motos/MX1336-italika-st90,Italika ST90 2023,Italika,Sin descuento,MXN,MXN $18332,False,True,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/xvhmgWGUiHtQOOCf6Rqg3/23202baaab6d6a2dbb511eed0cfc700d/Moto_Italika_ST90_-_Galgo_Me_xico_Principal.jpg
https://www.galgo.com/mx/motos/MX2087-vento-screamer-sportivo-300-2024,Vento Screamer Sportivo 300 2024,Vento,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/34aAWA1ZFNBRyVBwp0rjau/6b62bf511559421a9d06869de6f694bd/Vento-Screamer-Sportivo-2023__1___1_.jpg
https://www.galgo.com/mx/motos/MX883-cf-moto-450-sr,CF Moto 450 SR 2023,CF Moto,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,5,4,200,https://images.ctfassets.net/8zlbnewncp6f/64sOtp6MsxkQ5m8l4IG8xU/90d6b682696a802d51c2e3beb6f62d14/CF_Moto_450_SR_Galgo_M__xico.png
https://www.galgo.com/mx/motos/MX1021-honda-elite-125,Honda Elite 125 2024,Honda,Sin descuento,MXN,MXN $46990,False,True,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/3hovRAoD7Ig3pjMRpRLQoE/d195f2bf6b23b3d42293a3594b020204/Honda_Elite_125_-_Galgo_M_xico_Principal.jpg
https://www.galgo.com/mx/motos/MX398-vento-alpina-300,Vento Alpina 300 2025,Vento,MXN $51999,MXN,MXN $61999,True,True,MX,4.75,4,200,https://images.ctfassets.net/8zlbnewncp6f/2GWYJDrJDeF7uQtxPOCtSG/784eac992d07059ef01b388f5ab4a094/Vento-Alpina-300.jpg
https://www.galgo.com/mx/motos/MX252-bajaj-pulsar-ns-160,Bajaj Pulsar 160 NS 2024,Bajaj,MXN $42699,MXN,MXN $47199,True,True,MX,4.944444444444445,18,200,https://images.ctfassets.net/8zlbnewncp6f/5uwqV5Xc8HtQKnZmnJy9tq/367d7a1575645220e7ae135d993d8427/bajaj-pulsar-160-ns-primer-plano.jpg
https://www.galgo.com/mx/motos/MX1279-italika-125-fl,Italika 125 FL 2023,Italika,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/6OIRLVMGJeuNlBFAKzy8DY/124dd2a2e0e7089aecc349c23f74f631/Moto_Italika_125_FL_-_Galgo_Me_xico_Principal.jpg
https://www.galgo.com/mx/motos/MX511-honda-dio,Honda Dio 2025,Honda,Sin descuento,MXN,MXN $36490,False,True,MX,4.8,5,200,https://images.ctfassets.net/8zlbnewncp6f/3oDkFahdBu5R7W4O4fdc5y/9bc7ba436707e865ef43928b93b72b98/honda-dio-primer-plano-galgo-mexico.jpg
https://www.galgo.com/mx/motos/MX452-yamaha-fzs-2.0,Yamaha FZS 3.0 ABS 2024,Yamaha,MXN $63999,MXN,MXN $65999,True,True,MX,5,2,200,https://images.ctfassets.net/8zlbnewncp6f/wJtredie0uVz9C1ezPOb0/f8b8f96d3d80ab6b4b31a9416e776049/yamaha-fzs-3.0-abs-primer-plano.png
https://www.galgo.com/mx/motos/MX451-bajaj-pulsar-n-160,Bajaj Pulsar N 160 2025,Bajaj,Sin descuento,MXN,MXN $44499,False,True,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/Bnojn2wxWVc2qWx96qWLm/20f9c022e53c85a4ed38f0521455dccc/Bajaj_Pulsar_N_160_2024_Galgo_M_xico.webp
https://www.galgo.com/mx/motos/MX880-cf-moto-250-nk,CF Moto 250 NK 2023,CF Moto,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,5,3,200,https://images.ctfassets.net/8zlbnewncp6f/2sspSXxplUyvmZV6Dz2BXb/9e7b0c7af1618356914f63c4452450a1/CF_Moto_250_NK_Galgo_M__xico.png
https://www.galgo.com/mx/motos/MX245-bajaj-pulsar-200-ns-fi-abs,Bajaj Pulsar NS 200 FI ABS 2023,Bajaj,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,4.875,8,200,https://images.ctfassets.net/8zlbnewncp6f/34goN8dFGg2pMhvXnDiNwG/ab624618d7be12ddf6fd322cca82fb93/Bajaj_Pulsar_NS_200_FI_ABS_Galgo_M_xico.png
https://www.galgo.com/mx/motos/MX397-vento-crossmax-150,Vento Crossmax 150 2024,Vento,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/f9DCm6w6NEwtgM1sW7k9i/e5390d247791ff1ba5557eb8a8f65021/Vento-Crossmax-150.jpg
https://www.galgo.com/mx/motos/MX1294-italika-200-z,Italika 200 Z 2024,Italika,Sin descuento,MXN,MXN $31999,False,True,MX,5,2,200,https://images.ctfassets.net/8zlbnewncp6f/6hy4lxyWObBvW63EPXL0P5/fa71082f203b3ede45bf98fd66707826/Italika_200z_Galgo_M_xico.png
https://www.galgo.com/mx/motos/MX242-bajaj-pulsar-ns-200,Bajaj Pulsar NS 200 2024,Bajaj,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,5,6,200,https://images.ctfassets.net/8zlbnewncp6f/E5Y5eGWA8YlhfFVyNISfb/c5e58bc6750e06e0ded5388af24a5d11/Bajaj_pulsar_ns_200_galgo_m_xico.png
https://www.galgo.com/mx/motos/MX454-yamaha-fz-25-abs,Yamaha FZ 250 ABS 2024,Yamaha,Sin descuento,MXN,MXN $89999,False,True,MX,4.666666666666667,3,200,https://images.ctfassets.net/8zlbnewncp6f/2kkCLWUbONeA6tND5PudEn/90feebb11b4a1c58407648438864da8c/yamaha-fz-25-abs-primer-plano.jpg
https://www.galgo.com/mx/motos/MX538-honda-xr-190,Honda XR 190 2024,Honda,Sin descuento,MXN,MXN $61990,False,True,MX,4,1,200,https://images.ctfassets.net/8zlbnewncp6f/7DJXHr5s3HTwUBP3I9YExX/e5ce28b27251feba9db34266783dbf7f/Honda_XR_190_L__2_.jpg
https://www.galgo.com/mx/motos/MX902-cf-moto-250-sr,CF Moto 250 SR 2023,CF Moto,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,5,3,200,https://images.ctfassets.net/8zlbnewncp6f/2mEab5HKEmlB3rVxHAneka/ce4d55e8502dc03c497920a3c82a79c0/Moto_CF_Moto_250_SR_Galgo_M_xico.jpg
https://www.galgo.com/mx/motos/MX405-vento-crossmax-250-pro,Vento Crossmax 250 Pro 2024,Vento,MXN $37999,MXN,MXN $47999,True,True,MX,5,1,200,https://images.ctfassets.net/8zlbnewncp6f/7achcVWUv3bzCuQESMSvKq/e28f9a84079ba3627293bade534069e7/Vento-Crossmax-250-Pro.jpg
https://www.galgo.com/mx/motos/MX1825-victory-venom-18,Victory Venom 18 2024,Victory,MXN $38691,MXN,MXN $42990,True,True,MX,5,1,200,https://images.ctfassets.net/8zlbnewncp6f/1vi3MGZ6nNPi8LNeejtkKA/1f73d3450fc090875b6d354bb667a4db/Motocicleta_AKT_AK200DS_EIII_en_plano_frontal_galgo_M_xico.png
https://www.galgo.com/mx/motos/MX461-yamaha-xtz-150,Yamaha XTZ 150 2023,Yamaha,MXN $64999,MXN,MXN $74999,True,True,MX,4.916666666666667,12,200,https://images.ctfassets.net/8zlbnewncp6f/27PrFB4eRfdN8yQnTfnYAf/d2a01c225f46f7ab34dfebd38c38ed1c/Yamaha_XTZ150_2.jpg
https://www.galgo.com/mx/motos/MX445-yamaha-ray-zr-fi,Yamaha Ray ZR 125 FI 2023,Yamaha,MXN $54999,MXN,MXN $59999,True,True,MX,5,1,200,https://images.ctfassets.net/8zlbnewncp6f/4B1lpXf8MPsixXpFVUad9M/7e3b304ca58b2df673f3d82e99dcbacc/Yamaha_RAX_ZR125_2.jpg
https://www.galgo.com/mx/motos/MX404-vento-crossmax-250,Vento Crossmax 250 2025,Vento,MXN $33999,MXN,MXN $41999,True,True,MX,5,1,200,https://images.ctfassets.net/8zlbnewncp6f/4ZedhONwGGUIVXL01xu99z/698772d76a38433b9658662cb0b7b2ff/Vento-Crossmax-250.jpg
https://www.galgo.com/mx/motos/MX1008-honda-rebel-500,Honda Rebel 500 2024,Honda,Sin descuento,MXN,MXN $167900,False,True,MX,4.75,4,200,https://images.ctfassets.net/8zlbnewncp6f/5aG5q01EdsseKklvFdW4Aj/265f0893d3b47705338e84a870a93044/Honda_Rebel_500_-_Galgo_M_xico_Principal.jpg
https://www.galgo.com/mx/motos/MX403-vento-crossmax-200,Vento Crossmax 200 2024,Vento,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/3B4zMxPQm9CaVcGwdJ1Vtq/1f531f4c9aabdff771f9c366cc2036ea/Vento-Crossmax-200.jpg
https://www.galgo.com/mx/motos/MX712-suzuki-gsx-r-150,Suzuki GSX R 150 2021,Suzuki,No disponible por falta de stock,MXN,No disponible por falta de stock,False,False,MX,5,1,200,https://images.ctfassets.net/8zlbnewncp6f/auUeF6eElTIyK7Bb2HGA3/b2e3d858ef81758a2f1244fa7e33d1cb/Suzuki_GSX_R_150_Galgo_M__xico_Principal.webp
https://www.galgo.com/mx/motos/MX411-vento-gts-300,Vento GTS 300 2025,Vento,MXN $41999,MXN,MXN $51999,True,True,MX,5,3,200,https://images.ctfassets.net/8zlbnewncp6f/4WRGbigxJT6km4g6OkXNLR/0a4f604d26051eed778adb2372c40c10/Vento-GTs-300.jpg
https://www.galgo.com/mx/motos/MX648-vento-terra-s-170,Vento Terra S 170 2025,Vento,MXN $27499,MXN,MXN $29999,True,True,MX,No disponible,No disponible,200,https://images.ctfassets.net/8zlbnewncp6f/5q6DcoBCjs4v9YBcZbGp7v/85fcad655ce62131937033f1698e1825/Vento_Terra_S_170_-_Galgo_M__xico_Principal.jpg
https://www.galgo.com/mx/motos/MX447-yamaha-ybr-125-zr,Yamaha YBR 125 ZR 2024,Yamaha,MXN $38999,MXN,MXN $49999,True,True,MX,5,1,200,https://images.ctfassets.net/8zlbnewncp6f/4LnHmq4Fi1SUGmwC7XxRBb/fc95e8dc520d1dd4a642266144ec4b13/Yamaha-YBR-125.jpg
